"","X","cam","carcass","study_area","utm.z","utm.e","utm.n","first_photo","last_photo","season","habitat","trail.m","long","lat","elevation","building_id","building_distance","road_id","road_distance","road_status","road_class"
"1",1,"MVC202F-2588","WTD_Adult","Okanogan","10U",5379087,708410,"2018-02-20","2018-07-03","Winter","Sagebrush",NA,-120.176943441183,48.530252637119,610.31,71497,147.997829398466,6747,0.383290097576368,"Active","Unimproved Road"
"2",2,"MVC202F-2713","MD_Yearling","Okanogan","10U",5379191,708590,"2018-03-12","2018-04-21","Winter","Sagebrush",235,-120.174456271747,48.531127331901,739.86,21531,242.310507138708,6747,201.068283928474,"Active","Unimproved Road"
"3",3,"MVC202F-3281","WTD_Adult","Okanogan","10U",5376296,708155,"2018-07-02","2018-10-24","Summer","Riparian",250,-120.181785723013,48.5052587920275,558.84,67825,340.814083991828,56863,151.983349055015,"Active","Unimproved Road"
"4",4,"MVC202F-3539","MD_Adult","Okanogan","10U",5374210,711704,"2018-07-28","2018-09-19","Summer","Sagebrush",277,-120.134854980685,48.4853299630415,694.42,9093,648.565985702525,30093,310.258353586913,"Unknown","Light-Duty Road"
"5",5,"MVC202F-3662","Other","Okanogan","10U",5380747,705964,NA,NA,"Summer","Riparian",687,-120.209214598508,48.5459761713069,839.82,48836,692.639049748491,18039,620.257340934149,"Active","Unimproved Road"
"6",6,"MVC202F-733","MD_Adult","Okanogan","10U",5376405,710488,"2017-04-20","2017-05-03","Spring","Riparian",NA,-120.150184704334,48.5054609165029,667.36,89795,452.939140537333,29246,144.820735029828,"Active","Light-Duty Road"
"7",7,"MVC202F-960","MD_Adult","Okanogan","10U",5378414,709519,"2014-11-12","2014-12-11","Spring","Sagebrush",NA,-120.162278562608,48.5238363500345,827.65,56809,858.74199279472,58226,147.926295707405,"Active","Unimproved Road"
"8",8,"MVC205F-1019","MD_Fawn","Okanogan","10U",5393661,695460,"2017-07-22","2017-08-14","Summer","OpenConifer",NA,-120.345299550898,48.6653896793061,1562.8,44101,5672.14580243399,45379,120.093346297863,"Unknown","Unimproved Road"
"9",9,"MVC205F-1709","MD_Yearling","Okanogan","10U",5391223,706171,"2017-11-15","2017-12-17","Fall","OpenConifer",255,-120.201214934394,48.6400405950666,1210.52,60542,2911.42241714515,49940,238.947808693194,"Unknown","Unimproved Road"
"10",10,"MVC205F-2139","MD_Yearling","Okanogan","10U",5376241,713244,"2018-01-21","2018-02-23","Winter","OpenConifer",20,-120.11300375359,48.5030580293894,1057.13,14448,2408.51288672319,64839,34.3213389220482,"Unknown","Unimproved Road"
"11",11,"MVC205F-2305","MD_Yearling","Okanogan","10U",5374251,715759,"2018-02-13","2018-07-02","Winter","OpenConifer",92,-120.080028042377,48.4843198961351,1285.21,21461,2623.68321131949,60715,87.3325762502659,"Unknown","Unimproved Road"
"12",12,"MVC205F-729","MD_AgeUnk","Okanogan","10U",5385232,700512,"2014-11-11","2014-11-24","Spring",NA,NA,-120.280839286739,48.5880453370136,1299.13,7388,1991.27769849577,42234,19.6674996868887,"Unknown","Unimproved Road"
"13",13,"MVC205F-987","MD_Fawn","Okanogan","10U",5395138,705327,"2017-07-06","2017-08-14","Summer","OpenConifer",593,-120.210716494767,48.6754964870127,1374.27,14424,6138.27699687785,58329,613.00327783427,"Unknown","Unimproved Road"
"14",14,"MVC207F-646","MD_Fawn","Okanogan","10U",5389304,712736,"2017-09-19","2017-11-06","Fall","OpenConifer",373,-120.113195345752,48.6205999660237,1453.46,64086,356.378775058313,35262,384.122902095974,"Unknown","Unimproved Road"
"15",15,"MVC223F-106","MD_Yearling","Okanogan","10U",5377777,713209,"2018-02-15","2018-07-01","Winter","OpenConifer",793,-120.112692372715,48.5168707947625,1007.49,89795,3341.55661100679,3047,532.405505048458,"Unknown","Unimproved Road"
"16",16,"MVC223F-390","MD_Adult","Okanogan","10U",5405582,704526,"2018-06-27","2018-08-24","Summer","OpenConifer",88,-120.21640651583,48.7696032825896,1827.2,7170,8440.21158691025,60642,3118.63460089931,"Unknown","Unimproved Road"
"17",17,"MVC227F-3529","MD_Adult","Okanogan","10U",5375412,715460,"2019-03-04","2019-06-08","Winter","OpenConifer",65,-120.083470458247,48.4948537252435,1303.65,21461,2787.99221326714,19255,103.659098120571,"Unknown","Unimproved Road"
"18",18,"MVC227F-4361","MD_Yearling","Okanogan","10U",5372274,717446,"2019-07-20","2019-10-08","Summer","OpenConifer",1800,-120.058256220739,48.4659762523223,1600.87,14346,4126.76950664899,50228,1296.89293259385,"Unknown","Unimproved Road"
"19",19,"MVC228F-2274","Other","Okanogan","10U",5378961,710154,"2019-01-27","2019-03-06","Winter","OpenConifer",107,-120.153413517471,48.5285390615349,951.21,40344,1541.57522000073,4626,208.024441198385,"Active","Unimproved Road"
"20",20,"MVC230F-060-09-10C","MD_Yearling","Okanogan","10U",5377241,701963,"2020-03-02","2020-05-13","Winter","Sagebrush",137,-120.26506105888,48.5157717407654,611.12,21955,144.62687850879,55981,144.436314114855,"Active","Secondary Highway"
"21",21,"MVC230F-2423","MD_Fawn","Okanogan","10U",5395891,696089,"2019-08-21","2019-10-08","Summer","OpenConifer",40,-120.33570897021,48.6852322279103,1534.1,45906,5994.75364326931,5750,36.9082706148559,"Unknown","Unimproved Road"
"22",22,"MVC233F-356-04-20C","MD_Adult","Okanogan","10U",5360875,707374,"2019-12-20","2020-01-14","Winter","DenseConifer",20,-120.199977342267,48.3669483175931,585.37,82624,176.392682425954,19484,20.3246677685712,"Unknown","Unimproved Road"
"23",23,"MVC234M-022-14-40C","WTD_Adult","Okanogan","10U",5371051,709553,"2020-01-27","2020-02-15","Winter","Riparian",258,-120.165511398738,48.457665648102,524.76,60405,169.773491301304,64831,231.134281808692,"Unknown","Unimproved Road"
"24",24,"MVC235M-030-08-10C","MD_Adult","Okanogan","10U",5385017,707760,"2020-01-31","2020-03-03","Winter","OpenConifer",550,-120.182777687887,48.5837517411272,926.74,71482,874.357329855952,3902,555.541956943675,"Unknown","Light-Duty Road"
"25",25,"MVC235M-033-10-30C","Other","Okanogan","10U",5383343,708783,"2020-02-04","2020-03-10","Winter","OpenConifer",177,-120.169763817221,48.5683703132472,737.85,60506,455.833824613023,43407,172.466139251984,"Active","Light-Duty Road"
"26",26,"MVC235M-041-05-30C","MD_Adult","Okanogan","10U",5380503,709249,"2020-02-12","2020-03-23","Winter","OpenConifer",235,-120.164882161653,48.5426967388998,971.35,3490,1300.1235245107,19657,245.662031532876,"Active","Unimproved Road"
"27",27,"MVC235M-055-15-20C","MD_AgeUnk","Okanogan","10U",5381583,709823,"2020-02-28","2020-05-20","Winter","Sagebrush",210,-120.156570956265,48.5522091127684,934.75,98855,1280.83823884688,16276,90.4835621955322,"Active","Unimproved Road"
"28",28,"MVC236F-022-01-10C","MD_Yearling","Okanogan","10U",5373962,713731,"2020-01-18","2020-02-15","Winter","OpenConifer",50,-120.107585140349,48.4824159031653,852.55,21461,578.070460861984,9793,120.945355690506,"Unknown","Unimproved Road"
"29",29,"MVC236F-034-03-20C","MD_Yearling","Okanogan","10U",5381850,709881,"2020-02-04","2020-03-11","Winter","OpenConifer",67,-120.155651396452,48.5545887621369,1009.65,98855,1297.86791981286,11210,47.5565620599112,"Active","Unimproved Road"
"30",30,"MVC236F-041-09-20C","MD_Yearling","Okanogan","10U",5380508,710043,"2020-02-11","2030-03-23","Winter","OpenConifer",324,-120.154135522715,48.5424763750428,1070.45,3490,1990.81262494912,19657,323.549594249904,"Active","Unimproved Road"
"31",31,"MVC236F-071-22-10C","MD_Yearling","Okanogan","10U",5386764,711936,"2020-03-14","2020-03-28","Winter","OpenConifer",511,-120.125333738075,48.5980498107058,1097.43,64086,2637.89395971158,64723,489.774658598711,"Unknown","Unimproved Road"
"32",32,"MVC237M-060-16-10C","MD_AgeUnk","Okanogan","10U",5354663,717208,"2020-03-02","2020-05-10","Winter","Other",2,-120.070574587645,48.3078276716739,480.87,60375,209.013079347422,40433,86.9313095686169,"Unknown","Light-Duty Road"
"33",33,"MVC206F-1504","WTD_Adult","Okanogan","11U",5351543,282644,"2018-09-08","2018-11-09","Summer","Riparian",52,-119.929813139545,48.2797438169167,935.11,96770,3695.74433306986,2600,48.2782665057676,"Unknown","Unimproved Road"
"34",34,"NEC103F-522","WTD_Adult","Northeast","11U",5361055,472437,"2018-06-14","2018-08-17","Summer","DenseConifer",157,-117.372402513768,48.4020502756614,805.95,9789,953.659767443232,34965,428.098172965542,"Unknown","Unimproved Road"
"35",35,"NEC103F-626","WTD_Fawn","Northeast","11U",5364106,473534,"2018-10-08","2018-12-02","Fall","DenseConifer",31,-117.357773831941,48.4295451785942,814.38,82780,677.361254513816,27373,118.084251830909,"Unknown","Unimproved Road"
"36",36,"NEC103F-634","WTD_Fawn","Northeast","11U",5360015,472617,"2018-10-11","2018-12-02","Fall","Riparian",48,-117.369902760328,48.3927018915024,797.58,64628,299.687442669134,45914,43.7459571563278,"Unknown","Unimproved Road"
"37",37,"NEC107F-669","MD_Adult","Northeast","11U",5359844,444510,"2017-06-17","2017-07-19","Summer","OpenConifer",NA,-117.749537830338,48.3893165852782,1128.66,58004,1887.141855819,26522,412.516086478557,"Unknown","Unimproved Road"
"38",38,"NEC108M-2031","DeerUnkSpp_Fawn","Northeast","11U",5329352,414975,"2019-07-24","2019-09-13","Summer","Other",32,-118.142291233724,48.1117509061968,795.68,81731,1346.62906130398,19236,77.1876683126694,"Unknown","Unimproved Road"
"39",39,"NEC110F-1469","WTD_Adult","Northeast","11U",5328777,432833,"2019-09-02","2019-11-14","Summer","OpenConifer",10,-117.902317524127,48.1087124290409,884.54,35596,920.509580579744,35678,114.089646715205,"Active","Unimproved Road"
"40",40,"NEC113F-1248","WTD_Adult","Northeast","11U",5378770,461118,"2018-08-11","2018-12-03","Summer","Riparian",230,-117.526975536218,48.5608187364997,1113.82,16031,2427.69750475505,61973,211.193118855936,"Active","Light-Duty Road"
"41",41,"NEC113F-3329","WTD_Fawn","Northeast","11U",5381712,461299,"2019-07-23","2019-08-28","Summer","Riparian",60,-117.524796355142,48.5872958961708,1103.16,4252,2084.77196556523,41447,65.5182794851128,"Active","Unimproved Road"
"42",42,"NEC116F-1056","WTD_Fawn","Northeast","11U",5345261,469901,"2018-08-10","2018-11-30","Summer","DenseConifer",56,-117.405537205225,48.2598444977149,792.18,22818,955.082155040579,55075,119.954494548368,"Unknown","Light-Duty Road"
"43",43,"NEC116F-641","WTD_Fawn","Northeast","11U",5350435,454453,"2018-06-13","2018-08-10","Summer","DenseConifer",118,-117.614222481729,48.3054686185589,1104.77,57790,1504.52173048575,21724,85.8235522446449,"Unknown","Light-Duty Road"
"44",44,"NEC118M-1135","Moose_Calf","Northeast","11U",5358977,468879,"2018-08-12","2018-12-03","Summer","OpenConifer",204,-117.420319231209,48.383190281106,1071.89,476,1969.29362773131,18458,144.476895708159,"Unknown","Unimproved Road"
"45",45,"NEC122M-2028","Elk_Calf","Northeast","11U",5355880,448968,"2019-01-23","2019-02-24","Winter","OpenConifer",150,-117.688844423405,48.3540331545524,812.45,65255,897.230012275099,57672,278.168891126339,"Unknown","Unimproved Road"
"46",46,"NEC122M-769","WTD_Adult","Northeast","11U",5350486,444634,"2018-06-17","2018-07-19","Summer","Riparian",20,-117.746632308211,48.3051440859052,549.27,17124,114.590962804298,33686,199.646503412804,"Unknown","Unimproved Road"
"47",47,"NEC140M-1752","WTD_Adult","Northeast","11U",5346185,462162,"2019-09-14","2019-11-14","Summer","DenseConifer",75,-117.509887014642,48.2677421982242,1004.96,61178,4962.9621875334,34536,76.0502604465517,"Active","Unimproved Road"
"48",48,"NEC140M-369","WTD_Adult","Northeast","11U",5341447,457278,"2019-01-25","2019-03-07","Winter","OpenConifer",100,-117.575220061783,48.2248068716022,927.56,85741,926.361254135204,34951,83.8405868024361,"Active","Unimproved Road"
"49",49,"NEC141M-1267","Moose_Calf","Northeast","11U",5369844,455275,"2019-08-02","2019-09-09","Summer","DenseConifer",80,-117.605205245334,48.4801319776016,1040.29,94468,4203.08464603461,4011,88.2901613232493,"Unknown","Unimproved Road"
"50",50,"NEC141M-351","Moose_AgeUnk","Northeast","11U",5362558,460317,"2019-03-19","2019-04-01","Winter","OpenConifer",50,-117.536291146554,48.4149249918481,1269.57,64761,3466.88446025084,11692,65.4693076649774,"Unknown","Light-Duty Road"
"51",51,"NEC144M-1321","Other","Northeast","11U",5328632,433235,"2019-08-15","2019-10-13","Summer","DenseConifer",10,-117.896895070365,48.1074502939358,965.62,69587,1315.42747446017,13473,10.2354744746512,"Unknown","Unimproved Road"
"52",52,"NEC144M-1408","WTD_Fawn","Northeast","11U",5321875,424252,"2019-08-30","2019-11-14","Summer","Riparian",40,-118.016352719809,48.0456616353002,888.87,77974,2277.37300887207,31925,46.4689968129056,"Active","Unimproved Road"
"53",53,"NEC144M-1507","Moose_Calf","Northeast","11U",5323809,422465,"2019-09-15","2019-11-14","Summer","Riparian",120,-118.040676376448,48.0628445711489,1063.74,30272,4333.89432421175,53242,91.6682160357662,"Active","Unimproved Road"
"54",54,"NEC144M-342","Moose_Yearling","Northeast","11U",5326157,431015,"2019-03-05","2019-03-11","Winter","OpenConifer",15,-117.926313662908,48.0849489435834,801.92,69669,269.205326642316,50570,56.8071468411405,"Active","Unimproved Road"
"55",55,"NEC145M-1257","WTD_Adult","Northeast","11U",5373358,447982,"2019-08-11","2019-10-11","Summer","Riparian",45,-117.704322451825,48.5111817826021,845.39,7892,285.137471701026,15434,53.048646942311,"Active","Unimproved Road"
